"Title","URL handle","Description","Vendor","Type","Tags","Published on online store","Status","Option1 name","Option1 value","Price","Charge tax","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","SEO title","SEO description"
"COSRX The Vitamin C 23 Serum","cosrx-the-vitamin-c-23-serum","<p>A brightening COSRX serum for customers focused on glow, dark spots, and a dull complexion.</p><ul><li><strong>Key Ingredient:</strong> 23% Pure Vitamin C</li><li><strong>What It Helps With:</strong> Fades dark spots and brightens up a dull complexion.</li><li><strong>Best Skin Type:</strong> Dull / Hyperpigmentation</li></ul>","COSRX","Brightening serum","source-static-catalog, source-id-cosrx-the-vitamin-c-23-serum, brand-cosrx, category-brightening-serum, skin-all, cosrx, brightening, glow-care, card-dark-spot-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/cosrx/the-vitamin-c-23-serum.webp","1","COSRX The Vitamin C 23 Serum bottle","COSRX The Vitamin C 23 Serum","A brightening COSRX serum for customers focused on glow, dark spots, and a dull complexion. Key Ingredient: 23% Pure Vitamin C What It Helps With: Fades dark spots and brightens up a dull complexion. Best Skin Type: Dull / Hyperpigmentation"
"COSRX Acne Pimple Master Patch","cosrx-acne-pimple-master-patch","<p>A quick SOS option for active pimples when customers want a simple overnight spot-care step.</p><ul><li><strong>Key Ingredient:</strong> Hydrocolloid</li><li><strong>What It Helps With:</strong> An &quot;overnight miracle&quot; that sucks the gunk out of pimples.</li><li><strong>Best Skin Type:</strong> Acne-prone / SOS Care</li></ul>","COSRX","Spot patch","source-static-catalog, source-id-cosrx-acne-pimple-master-patch, brand-cosrx, category-spot-patch, skin-all, cosrx, spot-care, breakouts, card-overnight-fix","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/cosrx/acne-pimple-master-patch.jpg","1","COSRX Acne Pimple Master Patch pack","COSRX Acne Pimple Master Patch","A quick SOS option for active pimples when customers want a simple overnight spot-care step. Key Ingredient: Hydrocolloid What It Helps With: An ""overnight miracle"" that sucks the gunk out of pimples. Best Skin Type: Acne-prone / SOS Care"
"Isntree Hyaluronic Acid Watery Sun Gel","isntree-hyaluronic-acid-watery-sun-gel","<p>A lightweight Isntree sunscreen for customers who want high SPF protection with a moisturizer-like finish and no white cast.</p><ul><li><strong>Key Ingredient:</strong> 8 types of Hyaluronic Acid</li><li><strong>What It Helps With:</strong> Feels like a moisturizer, zero white cast, and high SPF protection.</li><li><strong>Best Skin Type:</strong> All / Dry / Dehydrated</li></ul>","Isntree","Hydrating sunscreen","source-static-catalog, source-id-isntree-hyaluronic-acid-watery-sun-gel, brand-isntree, category-hydrating-sunscreen, skin-dry, isntree, hydration, daily-spf, card-moisture-spf","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/isntree/hyaluronic-acid-watery-sun-gel.png","1","Isntree Hyaluronic Acid Watery Sun Gel tube","Isntree Hyaluronic Acid Watery Sun Gel","A lightweight Isntree sunscreen for customers who want high SPF protection with a moisturizer-like finish and no white cast. Key Ingredient: 8 types of Hyaluronic Acid What It Helps With: Feels like a moisturizer, zero white cast, and high SPF protection. Best Skin Type: All / Dry / Dehydrated"
"Isntree Green Tea Fresh Toner","isntree-green-tea-fresh-toner","<p>A refreshing toner for customers who want to balance oil and keep skin feeling fresh without over-drying it.</p><ul><li><strong>Key Ingredient:</strong> 80% Jeju Green Tea</li><li><strong>What It Helps With:</strong> Balances oil and refreshes skin without drying it out.</li><li><strong>Best Skin Type:</strong> Oily / Combination</li></ul>","Isntree","Balancing toner","source-static-catalog, source-id-isntree-green-tea-fresh-toner, brand-isntree, category-balancing-toner, skin-oily, isntree, oil-balance, fresh-skin, card-oil-balance","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/isntree/green-tea-fresh-toner.png","1","Isntree Green Tea Fresh Toner bottle","Isntree Green Tea Fresh Toner","A refreshing toner for customers who want to balance oil and keep skin feeling fresh without over-drying it. Key Ingredient: 80% Jeju Green Tea What It Helps With: Balances oil and refreshes skin without drying it out. Best Skin Type: Oily / Combination"
"Isntree Onion Newpair Sun Cream","isntree-onion-newpair-sun-cream","<p>A daily Isntree sun cream for customers who want UV protection while caring for post-acne marks and dark spots.</p><ul><li><strong>Key Ingredient:</strong> Muan Red Onion Extract</li><li><strong>What It Helps With:</strong> Helps fade dark spots and acne marks while protecting from UV.</li><li><strong>Best Skin Type:</strong> Acne-prone / Pigmented</li></ul>","Isntree","Spot-care sunscreen","source-static-catalog, source-id-isntree-onion-newpair-sun-cream, brand-isntree, category-spot-care-sunscreen, skin-all, isntree, dark-spots, daily-uv-care, card-dark-spot-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/isntree/onion-newpair-sun-cream.png","1","Isntree Onion Newpair Sun Cream tube","Isntree Onion Newpair Sun Cream","A daily Isntree sun cream for customers who want UV protection while caring for post-acne marks and dark spots. Key Ingredient: Muan Red Onion Extract What It Helps With: Helps fade dark spots and acne marks while protecting from UV. Best Skin Type: Acne-prone / Pigmented"
"Isntree Yam Root Vegan Milk Cleanser","isntree-yam-root-vegan-milk-cleanser","<p>A creamy cleanser for customers who want to protect the skin barrier while keeping dry or sensitive skin comfortable.</p><ul><li><strong>Key Ingredient:</strong> Andong Yam Root</li><li><strong>What It Helps With:</strong> A creamy cleanser that protects the skin barrier and hydrates.</li><li><strong>Best Skin Type:</strong> Dry / Sensitive</li></ul>","Isntree","Creamy cleanser","source-static-catalog, source-id-isntree-yam-root-vegan-milk-cleanser, brand-isntree, category-creamy-cleanser, skin-dry, skin-sensitive, isntree, barrier-care, gentle-cleanse, card-soft-cleanser","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/isntree/yam-root-vegan-milk-cleanser.png","1","Isntree Yam Root Vegan Milk Cleanser bottle","Isntree Yam Root Vegan Milk Cleanser","A creamy cleanser for customers who want to protect the skin barrier while keeping dry or sensitive skin comfortable. Key Ingredient: Andong Yam Root What It Helps With: A creamy cleanser that protects the skin barrier and hydrates. Best Skin Type: Dry / Sensitive"
"ANUA Heartleaf 77% Soothing Toner","anua-heartleaf-77-soothing-toner","<p>A soothing ANUA toner for customers who want calmer skin, balanced pH, and a gentle daily first step.</p><ul><li><strong>Key Ingredient:</strong> 77% Heartleaf</li><li><strong>What It Helps With:</strong> Calms redness and balances pH level.</li><li><strong>Best Skin Type:</strong> Sensitive / Acne-prone</li></ul>","ANUA","Calming toner","source-static-catalog, source-id-anua-heartleaf-77-soothing-toner, brand-anua, category-calming-toner, skin-sensitive, anua, calming-care, daily-toner, card-calming-toner","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/heartleaf-77-soothing-toner.png","1","ANUA Heartleaf 77% Soothing Toner bottle","ANUA Heartleaf 77% Soothing Toner","A soothing ANUA toner for customers who want calmer skin, balanced pH, and a gentle daily first step. Key Ingredient: 77% Heartleaf What It Helps With: Calms redness and balances pH level. Best Skin Type: Sensitive / Acne-prone"
"ANUA Heartleaf 77% Clear Pad","anua-heartleaf-77-clear-pad","<p>A swipe-on ANUA pad for customers who want gentle exfoliation, fresher skin, and a cleaner pore-care step.</p><ul><li><strong>Key Ingredient:</strong> Heartleaf + PHA</li><li><strong>What It Helps With:</strong> Gently wipes away dead skin and tightens pores.</li><li><strong>Best Skin Type:</strong> Oily / Combination</li></ul>","ANUA","Exfoliating pad","source-static-catalog, source-id-anua-heartleaf-77-clear-pad, brand-anua, category-exfoliating-pad, skin-oily, anua, pores, gentle-exfoliation, card-pore-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/heartleaf-77-clear-pad.png","1","ANUA Heartleaf 77% Clear Pad jar","ANUA Heartleaf 77% Clear Pad","A swipe-on ANUA pad for customers who want gentle exfoliation, fresher skin, and a cleaner pore-care step. Key Ingredient: Heartleaf + PHA What It Helps With: Gently wipes away dead skin and tightens pores. Best Skin Type: Oily / Combination"
"ANUA Heartleaf 80% Moisture Ampoule","anua-heartleaf-80-moisture-ampoule","<p>A hydrating ANUA ampoule for customers who want deeper moisture and a calmer feel on irritated skin.</p><ul><li><strong>Key Ingredient:</strong> 80% Heartleaf</li><li><strong>What It Helps With:</strong> Deeply hydrates and soothes irritated skin.</li><li><strong>Best Skin Type:</strong> All / Sensitive</li></ul>","ANUA","Hydrating ampoule","source-static-catalog, source-id-anua-heartleaf-80-moisture-ampoule, brand-anua, category-hydrating-ampoule, skin-sensitive, anua, hydration, soothing-care, card-hydration","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/heartleaf-80-moisture-ampoule.png","1","ANUA Heartleaf 80% Moisture Ampoule bottle","ANUA Heartleaf 80% Moisture Ampoule","A hydrating ANUA ampoule for customers who want deeper moisture and a calmer feel on irritated skin. Key Ingredient: 80% Heartleaf What It Helps With: Deeply hydrates and soothes irritated skin. Best Skin Type: All / Sensitive"
"ANUA Heartleaf 70% Daily Lotion","anua-heartleaf-70-daily-lotion","<p>A lightweight ANUA lotion for customers who want simple everyday moisture without a greasy finish.</p><ul><li><strong>Key Ingredient:</strong> 70% Heartleaf</li><li><strong>What It Helps With:</strong> Non-greasy moisture for everyday use.</li><li><strong>Best Skin Type:</strong> Oily / Sensitive</li></ul>","ANUA","Daily lotion","source-static-catalog, source-id-anua-heartleaf-70-daily-lotion, brand-anua, category-daily-lotion, skin-oily, skin-sensitive, anua, daily-moisture, light-finish, card-daily-lotion","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/heartleaf-70-daily-lotion.png","1","ANUA Heartleaf 70% Daily Lotion bottle","ANUA Heartleaf 70% Daily Lotion","A lightweight ANUA lotion for customers who want simple everyday moisture without a greasy finish. Key Ingredient: 70% Heartleaf What It Helps With: Non-greasy moisture for everyday use. Best Skin Type: Oily / Sensitive"
"ANUA Peach 70% Niacinamide Serum","anua-peach-70-niacinamide-serum","<p>A brightening ANUA serum for customers who want more glow, softer skin, and a fresh peach-finish look.</p><ul><li><strong>Key Ingredient:</strong> Peach + Niacinamide</li><li><strong>What It Helps With:</strong> Brightens dull skin and gives a &quot;Peach Glow.&quot;</li><li><strong>Best Skin Type:</strong> Dull / All Skin</li></ul>","ANUA","Brightening serum","source-static-catalog, source-id-anua-peach-70-niacinamide-serum, brand-anua, category-brightening-serum, skin-dry, skin-oily, skin-sensitive, anua, glow, brightening, card-peach-glow","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/peach-70-niacinamide-serum.png","1","ANUA Peach 70% Niacinamide Serum bottle","ANUA Peach 70% Niacinamide Serum","A brightening ANUA serum for customers who want more glow, softer skin, and a fresh peach-finish look. Key Ingredient: Peach + Niacinamide What It Helps With: Brightens dull skin and gives a ""Peach Glow."" Best Skin Type: Dull / All Skin"
"ANUA Peach 77% Niacin Enriched Cream","anua-peach-77-niacin-enriched-cream","<p>A richer ANUA cream for customers who want soft, bouncy skin and more nourishing daily moisture.</p><ul><li><strong>Key Ingredient:</strong> Peach + Ceramide</li><li><strong>What It Helps With:</strong> Deeply nourishes for bouncy, soft skin.</li><li><strong>Best Skin Type:</strong> Dry / Dehydrated</li></ul>","ANUA","Nourishing cream","source-static-catalog, source-id-anua-peach-77-niacin-enriched-cream, brand-anua, category-nourishing-cream, skin-dry, anua, nourishing, soft-skin, card-bounce-cream","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/peach-77-niacin-enriched-cream.png","1","ANUA Peach 77% Niacin Enriched Cream jar","ANUA Peach 77% Niacin Enriched Cream","A richer ANUA cream for customers who want soft, bouncy skin and more nourishing daily moisture. Key Ingredient: Peach + Ceramide What It Helps With: Deeply nourishes for bouncy, soft skin. Best Skin Type: Dry / Dehydrated"
"ANUA Nano Retinol 0.3% + Niacin","anua-nano-retinol-0-3-niacin","<p>A renewing ANUA serum for customers focused on smoother texture, pore care, and early anti-aging support.</p><ul><li><strong>Key Ingredient:</strong> Retinol + Niacin</li><li><strong>What It Helps With:</strong> Renews skin texture and helps with aging/pores.</li><li><strong>Best Skin Type:</strong> Textured / Aging</li></ul>","ANUA","Renewing serum","source-static-catalog, source-id-anua-nano-retinol-0-3-niacin, brand-anua, category-renewing-serum, skin-all, anua, texture, renewing-care, card-retinol-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/nano-retinol-0-3-niacin-serum.png","1","ANUA Nano Retinol 0.3% + Niacin bottle","ANUA Nano Retinol 0.3% + Niacin","A renewing ANUA serum for customers focused on smoother texture, pore care, and early anti-aging support. Key Ingredient: Retinol + Niacin What It Helps With: Renews skin texture and helps with aging/pores. Best Skin Type: Textured / Aging"
"ANUA Rice 70% Glow Milky Toner","anua-rice-70-glow-milky-toner","<p>A milky ANUA toner for customers who want brighter-looking skin with a softer, smoother finish.</p><ul><li><strong>Key Ingredient:</strong> 70% Rice Bran</li><li><strong>What It Helps With:</strong> Brightens and softens skin like milk.</li><li><strong>Best Skin Type:</strong> Dull / Dry Skin</li></ul>","ANUA","Milky toner","source-static-catalog, source-id-anua-rice-70-glow-milky-toner, brand-anua, category-milky-toner, skin-dry, anua, glow, dry-skin, card-milky-glow","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/rice-70-glow-milky-toner.png","1","ANUA Rice 70% Glow Milky Toner bottle","ANUA Rice 70% Glow Milky Toner","A milky ANUA toner for customers who want brighter-looking skin with a softer, smoother finish. Key Ingredient: 70% Rice Bran What It Helps With: Brightens and softens skin like milk. Best Skin Type: Dull / Dry Skin"
"ANUA Birch Moisture Boosting Serum","anua-birch-moisture-boosting-serum","<p>A watery ANUA serum for customers who want stronger hydration with a fresh, cooling skin feel.</p><ul><li><strong>Key Ingredient:</strong> Birch Sap</li><li><strong>What It Helps With:</strong> Intense hydration that feels cool and watery.</li><li><strong>Best Skin Type:</strong> Dry / Dehydrated</li></ul>","ANUA","Hydration serum","source-static-catalog, source-id-anua-birch-moisture-boosting-serum, brand-anua, category-hydration-serum, skin-dry, anua, hydration, cooling-feel, card-hydration-boost","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/birch-moisture-boosting-serum.png","1","ANUA Birch Moisture Boosting Serum bottle","ANUA Birch Moisture Boosting Serum","A watery ANUA serum for customers who want stronger hydration with a fresh, cooling skin feel. Key Ingredient: Birch Sap What It Helps With: Intense hydration that feels cool and watery. Best Skin Type: Dry / Dehydrated"
"ANUA Green Lemon Vita C Serum","anua-green-lemon-vita-c-serum","<p>A vitamin C ANUA serum for customers who want to fade dark spots and post-acne marks with a brighter finish.</p><ul><li><strong>Key Ingredient:</strong> 56% Green Lemon</li><li><strong>What It Helps With:</strong> Fades dark spots and acne marks quickly.</li><li><strong>Best Skin Type:</strong> All / Sun-damaged</li></ul>","ANUA","Vitamin C serum","source-static-catalog, source-id-anua-green-lemon-vita-c-serum, brand-anua, category-vitamin-c-serum, skin-dry, skin-oily, skin-sensitive, anua, vitamin-c, brightening, card-dark-spot-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/anua/green-lemon-vita-c-serum.png","1","ANUA Green Lemon Vita C Serum bottle","ANUA Green Lemon Vita C Serum","A vitamin C ANUA serum for customers who want to fade dark spots and post-acne marks with a brighter finish. Key Ingredient: 56% Green Lemon What It Helps With: Fades dark spots and acne marks quickly. Best Skin Type: All / Sun-damaged"
